madvhc,ten,cap,captren
099,Huyện Tuần Giáo,HUYEN,11
100,Huyện Điện Biên,HUYEN,11
101,Huyện Điện Biên Đông,HUYEN,11
102,Huyện Mường Ảng,HUYEN,11
103,Huyện Nậm Pồ,HUYEN,11
105,Thành phố Lai Châu,HUYEN,12
106,Huyện Tam Đường,HUYEN,12
107,Huyện Mường Tè,HUYEN,12
108,Huyện Sìn Hồ,HUYEN,12
109,Huyện Phong Thổ,HUYEN,12
110,Huyện Than Uyên,HUYEN,12
111,Huyện Tân Uyên,HUYEN,12
112,Huyện Nậm Nhùn,HUYEN,12
116,Thành phố Sơn La,HUYEN,14
118,Huyện Quỳnh Nhai,HUYEN,14
119,Huyện Thuận Châu,HUYEN,14
120,Huyện Mường La,HUYEN,14
121,Huyện Bắc Yên,HUYEN,14
122,Huyện Phù Yên,HUYEN,14
123,Huyện Mộc Châu,HUYEN,14
124,Huyện Yên Châu,HUYEN,14
125,Huyện Mai Sơn,HUYEN,14
126,Huyện Sông Mã,HUYEN,14
127,Huyện Sốp Cộp,HUYEN,14
128,Huyện Vân Hồ,HUYEN,14
132,Thành phố Yên Bái,HUYEN,15
133,Thị xã Nghĩa Lộ,HUYEN,15
135,Huyện Lục Yên,HUYEN,15
136,Huyện Văn Yên,HUYEN,15
137,Huyện Mù Căng Chải,HUYEN,15
138,Huyện Trấn Yên,HUYEN,15
139,Huyện Trạm Tấu,HUYEN,15
140,Huyện Văn Chấn,HUYEN,15
141,Huyện Yên Bình,HUYEN,15
148,Thành phố Hòa Bình,HUYEN,17
150,Huyện Đà Bắc,HUYEN,17
151,Huyện Kỳ Sơn,HUYEN,17
152,Huyện Lương Sơn,HUYEN,17
153,Huyện Kim Bôi,HUYEN,17
154,Huyện Cao Phong,HUYEN,17
155,Huyện Tân Lạc,HUYEN,17
156,Huyện Mai Châu,HUYEN,17
157,Huyện Lạc Sơn,HUYEN,17
158,Huyện Yên Thủy,HUYEN,17
159,Huyện Lạc Thủy,HUYEN,17
164,Thành phố Thái Nguyên,HUYEN,19
165,Thành phố Sông Công,HUYEN,19
167,Huyện Định Hóa,HUYEN,19
168,Huyện Phú Lương,HUYEN,19
169,Huyện Đồng Hỷ,HUYEN,19
170,Huyện Võ Nhai,HUYEN,19
171,Huyện Đại Từ,HUYEN,19
172,Thị xã Phổ Yên,HUYEN,19
173,Huyện Phú Bình,HUYEN,19
